	page	x0	y0	x1	y1	token	contract_num	advertiser	flight_from	flight_to	gross_amount	tok_id	length	digitness	is_dollar	log_amount	label
0	0	408.002	17.963	424.45	26.899	Print	0.0	0.29	0.0	0.0	0.0	37	5	0.0	0.0	0.0	0
1	0	426.674	17.963	443.57	26.899	Date	0.0	0.29	0.0	0.0	0.0	8	4	0.0	0.0	0.0	0
2	0	450.0	17.963	481.136	26.899	08/23/12	0.0	0.29	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
3	0	483.36	17.963	514.496	26.899	12:47:37	0.0	0.23	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
4	0	534.002	17.963	552.682	26.899	Page	0.0	0.19	0.0	0.0	0.0	7	4	0.0	0.0	0.0	0
5	0	276.84	28.783	334.616	46.655	ORDER	0.0	0.31	0.0	0.0	0.0	9	5	0.0	0.0	0.0	0
6	0	18.0	72.203	44.232	81.139	Orders	0.0	0.31	0.0	0.0	0.0	54	6	0.0	0.0	0.0	0
7	0	87.001	72.203	108.785	81.139	Order	0.0	0.29	0.0	0.0	0.0	9	5	0.0	0.0	0.0	0
8	0	115.457	72.203	132.793	81.139	Rev:	0.0	0.33	0.0	0.0	0.0	71	4	0.0	0.0	0.0	0
9	0	171.72	72.203	198.408	81.139	707556	0.0	0.33	0.0	0.0	0.59	0	6	1.0	1.0	13.469573	0
10	0	87.001	86.963	96.337	95.899	Alt	0.0	0.33	0.0	0.0	0.0	31	3	0.0	0.0	0.0	0
11	0	98.561	86.963	119.009	95.899	Order	0.0	0.33	0.0	0.0	0.0	9	5	0.0	0.0	0.0	0
12	0	171.751	86.963	207.335	95.899	06282267	0.0	0.33	0.0	0.0	0.56	0	8	1.0	1.0	15.653241	0
13	0	87.001	101.963	114.569	110.899	Product	0.0	0.42	0.0	0.0	0.0	5	7	0.0	0.0	0.0	0
14	0	116.793	101.963	137.241	110.899	Desc:	0.0	0.68	0.0	0.0	0.0	141	5	0.0	0.0	0.0	0
15	0	171.751	101.963	226.871	110.899	ISS/FREEDOM	0.0	0.9	0.0	0.0	0.0	12498	11	0.0	0.0	0.0	0
16	0	242.431	101.963	271.319	110.899	MARRY	0.0	0.9	0.0	0.0	0.0	8209	5	0.0	0.0	0.0	0
17	0	273.543	101.963	291.335	110.899	2012	0.0	0.9	0.0	0.0	0.67	0	4	1.0	1.0	7.6073813	0
18	0	87.001	116.963	120.345	125.899	Estimate:	0.0	0.58	0.0	0.0	0.0	23	9	0.0	0.0	0.0	0
19	0	171.751	116.963	193.991	125.899	11623	0.0	0.44	0.0	0.0	0.5	0	5	1.0	1.0	9.360827	0
20	0	432.0	115.703	454.664	124.639	KARE	0.0	0.29	0.0	0.0	0.0	703	4	0.0	0.0	0.0	0
21	0	87.001	131.963	106.561	140.899	Flight	0.0	0.29	0.0	0.0	0.0	61	6	0.0	0.0	0.0	0
22	0	108.785	131.963	131.905	140.899	Dates:	0.0	0.29	0.0	0.0	0.0	18	6	0.0	0.0	0.0	0
23	0	171.751	131.963	202.887	140.899	08/27/12	0.0	0.29	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
